name,sourcefile,cloneof,year,manufacturer,description,status
dyndukej,dynduke.cpp,dynduke,1989,Seibu Kaihatsu,Dynamite Duke (Japan),good
dyndukeu,dynduke.cpp,dynduke,1989,Seibu Kaihatsu (Fabtek license),Dynamite Duke (US),good
dynobop,itech8.cpp,,1990,Grand Products/Incredible Technologies,Dyno Bop,preliminary
dynwar,cps1.cpp,,1989,Capcom,"Dynasty Wars (USA, B-Board 89624B-?)",good
dynwara,cps1.cpp,dynwar,1989,Capcom,"Dynasty Wars (USA, B-Board 88622B-3)",good
dynwarj,cps1.cpp,dynwar,1989,Capcom,Tenchi wo Kurau (Japan),good
dynwarjr,cps1.cpp,dynwar,1989,Capcom,Tenchi wo Kurau (Japan Resale Ver.),good
dzigzag,galaga.cpp,digdug,1982,bootleg,Zig Zag (Dig Dug hardware),good
eacc,eacc.cpp,,1982,Electronics Australia,EA Car Computer,good
eagle,galaxian.cpp,mooncrst,1980,Nichibutsu (Centuri license),Eagle (set 1),good
eagle1600,pc.cpp,ibm5150,1983,Eagle,1600,preliminary
eagle2,galaxian.cpp,mooncrst,1980,Nichibutsu (Centuri license),Eagle (set 2),good
eagle3,galaxian.cpp,mooncrst,1980,Nichibutsu (Centuri license),Eagle (set 3),good
eaglshot,ssv.cpp,,1994,Sammy,Eagle Shot Golf,imperfect
earthjkr,asuka.cpp,,1993,Visco,U.N. Defense Force: Earth Joker (Japan),good
earthjkrp,asuka.cpp,earthjkr,1993,Visco,"U.N. Defense Force: Earth Joker (Japan, prototype?)",good
eatpm_4g,s11b.cpp,eatpm_l4,1989,Bally,Elvira and the Party Monsters (LG-4),preliminary
eatpm_4u,s11b.cpp,eatpm_l4,1989,Bally,Elvira and the Party Monsters (LU-4),preliminary
eatpm_l1,s11b.cpp,eatpm_l4,1989,Bally,Elvira and the Party Monsters (LA-1),preliminary
eatpm_l2,s11b.cpp,eatpm_l4,1989,Bally,Elvira and the Party Monsters (LA-2),preliminary
eatpm_l4,s11b.cpp,,1989,Bally,Elvira and the Party Monsters (LA-4),preliminary
eatpm_p7,s11b.cpp,eatpm_l4,1989,Bally,Elvira and the Party Monsters (PA-7),preliminary
eballchp,by6803.cpp,,1985,Bally,Eight Ball Champ,preliminary
eballd14,by35.cpp,eballdlx,1981,Bally,Eight Ball Deluxe (rev. 14),preliminary
eballdlx,by35.cpp,,1981,Bally,Eight Ball Deluxe (rev. 15),preliminary
eballdlxp1,by68701.cpp,eballdlx,1981,Bally,Eight Ball Deluxe (prototype rev. 1),preliminary
eballdlxp2,by68701.cpp,eballdlx,1981,Bally,Eight Ball Deluxe (prototype rev. 2),preliminary
eballdlxp3,by68701.cpp,eballdlx,1981,Bally,Eight Ball Deluxe (prototype rev. 3),preliminary
eballdlxp4,by68701.cpp,eballdlx,1981,Bally,Eight Ball Deluxe (prototype rev. 4),preliminary
ebases,astrocde.cpp,,1980,Dave Nutting Associates / Midway,Extra Bases,good
ebaskb2,hh_tms1k.cpp,,1980,Entex,Electronic Basketball 2 (Entex),good
ebball,hh_tms1k.cpp,,1979,Entex,Electronic Baseball (Entex),good
ebball2,hh_tms1k.cpp,,1979,Entex,Electronic Baseball 2 (Entex),good
ebball3,hh_tms1k.cpp,,1980,Entex,Electronic Baseball 3 (Entex),good
ec1840,ec184x.cpp,ibm5150,1987,<unknown>,EC-1840,preliminary
ec1841,ec184x.cpp,ibm5150,1987,<unknown>,EC-1841,good
ec1842,at.cpp,ibm5150,1989,<unknown>,EC-1842,preliminary
ec1845,ec184x.cpp,ibm5150,1989,<unknown>,EC-1845,preliminary
ec1847,ec184x.cpp,ibm5150,1990,<unknown>,EC-1847,preliminary
ec1849,at.cpp,ibm5170,1993,<unknown>,EC-1849,preliminary
ec65,ec65.cpp,,1985,Elektor Electronics,EC-65,preliminary
ec65k,ec65.cpp,ec65,1985,Elektor Electronics,EC-65K,preliminary
ec_bar5,ecoinf1.cpp,ec_barxo,19??,Electrocoin,Bar 5 (older PCB) (Electrocoin),preliminary
ec_bar7,ecoinfr.cpp,,19??,Concept Games Ltd,Bar 7 (Concept Games Ltd) (?),preliminary
ec_barx,ecoinfr.cpp,,199?,Electrocoin,Bar X (Electrocoin) (set 1),preliminary
ec_barx__0,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 28),preliminary
ec_barx__1,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 29),preliminary
ec_barx__2,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 30),preliminary
ec_barx__3,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 31),preliminary
ec_barx__4,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 32),preliminary
ec_barx__5,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 33),preliminary
ec_barx__6,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 34),preliminary
ec_barx__7,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 35),preliminary
ec_barx__8,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 36),preliminary
ec_barx__9,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 37),preliminary
ec_barx__a,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 2),preliminary
ec_barx__a0,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 64),preliminary
ec_barx__a1,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 65),preliminary
ec_barx__a2,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 66),preliminary
ec_barx__a3,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 67),preliminary
ec_barx__a4,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 68),preliminary
ec_barx__a5,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 69),preliminary
ec_barx__a6,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 70),preliminary
ec_barx__a7,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 71),preliminary
ec_barx__a8,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 72),preliminary
ec_barx__a9,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 73),preliminary
ec_barx__aa,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 38),preliminary
ec_barx__ab,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 39),preliminary
ec_barx__ac,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 40),preliminary
ec_barx__ad,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 41),preliminary
ec_barx__ae,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 42),preliminary
ec_barx__af,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 43),preliminary
ec_barx__ag,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 44),preliminary
ec_barx__ah,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 45),preliminary
ec_barx__ai,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 46),preliminary
ec_barx__aj,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 47),preliminary
ec_barx__ak,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 48),preliminary
ec_barx__al,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 49),preliminary
ec_barx__am,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 50),preliminary
ec_barx__an,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 51),preliminary
ec_barx__ao,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 52),preliminary
ec_barx__ap,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 53),preliminary
ec_barx__aq,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 54),preliminary
ec_barx__ar,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 55),preliminary
ec_barx__as,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 56),preliminary
ec_barx__at,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 57),preliminary
ec_barx__au,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 58),preliminary
ec_barx__av,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 59),preliminary
ec_barx__aw,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 60),preliminary
ec_barx__ax,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 61),preliminary
ec_barx__ay,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 62),preliminary
ec_barx__az,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 63),preliminary
ec_barx__b,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 3),preliminary
ec_barx__ba,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 74),preliminary
ec_barx__bb,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 75),preliminary
ec_barx__bc,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 76),preliminary
ec_barx__bd,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 77),preliminary
ec_barx__be,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 78),preliminary
ec_barx__bf,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 79),preliminary
ec_barx__bg,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 80),preliminary
ec_barx__bh,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 81),preliminary
ec_barx__bi,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 82),preliminary
ec_barx__bj,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 83),preliminary
ec_barx__bk,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 84),preliminary
ec_barx__bl,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 85),preliminary
ec_barx__bm,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 86),preliminary
ec_barx__bn,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 87),preliminary
ec_barx__bo,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 88),preliminary
ec_barx__bp,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 89),preliminary
ec_barx__bq,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 90),preliminary
ec_barx__br,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 91),preliminary
ec_barx__bs,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 92),preliminary
ec_barx__bt,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 93),preliminary
ec_barx__bu,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 94),preliminary
ec_barx__c,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 4),preliminary
ec_barx__d,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 5),preliminary
ec_barx__e,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 6),preliminary
ec_barx__f,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 7),preliminary
ec_barx__g,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 8),preliminary
ec_barx__h,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 9),preliminary
ec_barx__i,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 10),preliminary
ec_barx__j,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 11),preliminary
ec_barx__k,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 12),preliminary
ec_barx__l,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 13),preliminary
ec_barx__m,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 14),preliminary
ec_barx__n,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 15),preliminary
ec_barx__o,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 16),preliminary
ec_barx__p,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 17),preliminary
ec_barx__q,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 18),preliminary
ec_barx__r,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 19),preliminary
ec_barx__s,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 20),preliminary
ec_barx__t,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 21),preliminary
ec_barx__u,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 22),preliminary
ec_barx__v,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 23),preliminary
ec_barx__w,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 24),preliminary
ec_barx__x,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 25),preliminary
ec_barx__y,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 26),preliminary
ec_barx__z,ecoinfr.cpp,ec_barx,199?,Electrocoin,Bar X (Electrocoin) (set 27),preliminary
ec_barxmab,ecoinfr.cpp,ec_barx,19??,Electrocoin,Bar X (MAB PCB) (Electrocoin),preliminary
ec_barxo,ecoinf1.cpp,,19??,Electrocoin,Bar X (older PCB) (Electrocoin) (set 1),preliminary
ec_barxoa,ecoinf1.cpp,ec_barxo,19??,Electrocoin,Bar X (older PCB) (Electrocoin) (set 2),preliminary
ec_barxob,ecoinf1.cpp,ec_barxo,19??,Electrocoin,Bar X (older PCB) (Electrocoin) (set 3),preliminary
ec_barxoc,ecoinf1.cpp,ec_barxo,19??,Electrocoin,Bar X (older PCB) (Electrocoin) (set 4),preliminary
ec_barxod,ecoinf1.cpp,ec_barxo,19??,Electrocoin,Bar X (older PCB) (Electrocoin) (set 5),preliminary
ec_barxoe,ecoinf1.cpp,ec_barxo,19??,Electrocoin,Bar X (older PCB) (Electrocoin) (set 6),preliminary
ec_big7,ecoinfr.cpp,,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 1),preliminary
ec_big7__0,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 28),preliminary
ec_big7__1,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 29),preliminary
ec_big7__2,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 30),preliminary
ec_big7__3,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 31),preliminary
ec_big7__4,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 32),preliminary
ec_big7__5,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 33),preliminary
ec_big7__6,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 34),preliminary
ec_big7__7,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 35),preliminary
ec_big7__8,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 36),preliminary
ec_big7__9,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 37),preliminary
ec_big7__a,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 2),preliminary
ec_big7__a0,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 64),preliminary
ec_big7__a1,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 65),preliminary
ec_big7__a2,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 66),preliminary
ec_big7__aa,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 38),preliminary
ec_big7__ab,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 39),preliminary
ec_big7__ac,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 40),preliminary
ec_big7__ad,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 41),preliminary
ec_big7__ae,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 42),preliminary
ec_big7__af,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 43),preliminary
ec_big7__ag,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 44),preliminary
ec_big7__ah,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 45),preliminary
ec_big7__ai,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 46),preliminary
ec_big7__aj,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 47),preliminary
ec_big7__ak,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 48),preliminary
ec_big7__al,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 49),preliminary
ec_big7__am,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 50),preliminary
ec_big7__an,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 51),preliminary
ec_big7__ao,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 52),preliminary
ec_big7__ap,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 53),preliminary
ec_big7__aq,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 54),preliminary
ec_big7__ar,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 55),preliminary
ec_big7__as,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 56),preliminary
ec_big7__at,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 57),preliminary
ec_big7__au,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 58),preliminary
ec_big7__av,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 59),preliminary
ec_big7__aw,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 60),preliminary
ec_big7__ax,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 61),preliminary
ec_big7__ay,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 62),preliminary
ec_big7__az,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 63),preliminary
ec_big7__b,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 3),preliminary
ec_big7__c,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 4),preliminary
ec_big7__d,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 5),preliminary
ec_big7__e,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 6),preliminary
ec_big7__f,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 7),preliminary
ec_big7__g,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 8),preliminary
ec_big7__h,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 9),preliminary
ec_big7__i,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 10),preliminary
ec_big7__j,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 11),preliminary
ec_big7__k,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 12),preliminary
ec_big7__l,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 13),preliminary
ec_big7__m,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 14),preliminary
ec_big7__n,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 15),preliminary
ec_big7__o,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 16),preliminary
ec_big7__p,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 17),preliminary
ec_big7__q,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 18),preliminary
ec_big7__r,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 19),preliminary
ec_big7__s,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 20),preliminary
ec_big7__t,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 21),preliminary
ec_big7__u,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 22),preliminary
ec_big7__v,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 23),preliminary
ec_big7__w,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 24),preliminary
ec_big7__x,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 25),preliminary
ec_big7__y,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 26),preliminary
ec_big7__z,ecoinfr.cpp,ec_big7,199?,Electrocoin,Big 7 / Super Big 7 (Electrocoin) (set 27),preliminary
ec_bx125,ecoinfr.cpp,,2005,Electrocoin,Bar X 125 (Electrocoin) (set 1),preliminary
ec_bx125a,ecoinfr.cpp,ec_bx125,2005,Electrocoin,Bar X 125 (Electrocoin) (set 2),preliminary
ec_bx180,ecoinfr.cpp,,199?,Electrocoin,Bar X (Z180 hardware) (Electrocoin) (set 1),preliminary
ec_bx180a,ecoinfr.cpp,ec_bx180,199?,Electrocoin,Bar X (Z180 hardware) (Electrocoin) (set 2),preliminary
ec_bxd7s,ecoinfr.cpp,,199?,Electrocoin,Bar X Diamond 7s (2006 COOL7) (Electrocoin) (set 1),preliminary
ec_bxd7s__a,ecoinfr.cpp,ec_bxd7s,199?,Electrocoin,Bar X Diamond 7s (2006 COOL7) (Electrocoin) (set 2),preliminary
ec_bxd7s__b,ecoinfr.cpp,ec_bxd7s,199?,Electrocoin,Bar X Diamond 7s (2006 COOL7) (Electrocoin) (set 3),preliminary
ec_bxd7s__c,ecoinfr.cpp,ec_bxd7s,199?,Electrocoin,Bar X Diamond 7s (2006 COOL7) (Electrocoin) (set 4),preliminary
ec_bxd7s__d,ecoinfr.cpp,ec_bxd7s,199?,Electrocoin,Bar X Diamond 7s (2006 COOL7) (Electrocoin) (set 5),preliminary
ec_casbx,ecoinfr.cpp,,199?,Electrocoin,Casino Bar X (Electrocoin) (set 1),preliminary
ec_casbx__a,ecoinfr.cpp,ec_casbx,199?,Electrocoin,Casino Bar X (Electrocoin) (set 2),preliminary
ec_casbx__b,ecoinfr.cpp,ec_casbx,199?,Electrocoin,Casino Bar X (Electrocoin) (set 3),preliminary
ec_casbxcon,ecoinfr.cpp,ec_casbx,19??,Concept Games Ltd,Casino Bar X (Concept Games Ltd) (?),preliminary
ec_casbxo,ecoinf1.cpp,ec_barxo,19??,Electrocoin,Casino Bar X (older PCB) (Electrocoin) (set 1),preliminary
ec_casbxoa,ecoinf1.cpp,ec_barxo,19??,Electrocoin,Casino Bar X (older PCB) (Electrocoin) (set 2),preliminary
ec_casmb,ecoinfr.cpp,,19??,Concept Games Ltd,Casino Multi Bar (Concept Games Ltd) (?),preliminary
ec_fltr,ecoinfr.cpp,,19??,Concept Games Ltd,Flutter (Concept Games Ltd) (?),preliminary
ec_gold7,ecoinfr.cpp,,19??,Concept Games Ltd,Golden 7 (Concept Games Ltd) (?),preliminary
ec_jackb,ecoinfr.cpp,,19??,Concept Games Ltd,Jackpot Bars (MAB PCB?) (Concept Games Ltd) (?),preliminary
ec_laby,ecoinf3.cpp,,19??,Electrocoin,Labyrinth (v8) (Electrocoin),preliminary
ec_labya,ecoinf3.cpp,ec_laby,19??,Electrocoin,Labyrinth (v10) (Electrocoin),preliminary
ec_mag7s,ecoinfr.cpp,,199?,Electrocoin,Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 1),preliminary
ec_mag7s__0,ecoinfr.cpp,ec_mag7s,199?,Electrocoin,Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 28),preliminary
ec_mag7s__1,ecoinfr.cpp,ec_mag7s,199?,Electrocoin,Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 29),preliminary
ec_mag7s__2,ecoinfr.cpp,ec_mag7s,199?,Electrocoin,Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 30),preliminary
